frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2,1.0,[90.64937638449078 49.22274578246129 1926.3853953575913 1068.0640070951656],[1502.84765625 814.2568359375 1897.937255859375 1034.5672607421875],0.2913024127483368, ,0.0
3,1.0,[92.95540766912711 52.568749745905734 1927.708474069952 1077.0516369442764],[1502.625732421875 814.0746459960938 1898.01123046875 1034.729736328125],0.2901749312877655, ,0.0
4,1.0,[101.75370370500525 61.156958908471495 1915.1186997976765 1076.8182030338826],[1503.235595703125 814.4514770507812 1898.2061767578125 1034.82470703125],0.31749749183654785, ,0.0
5,1.0,[110.2058414403524 63.53504120411651 1911.0051848812955 1075.0351291912675],[1503.147216796875 814.5704956054688 1897.641357421875 1034.6634521484375],0.31931498646736145, ,0.0
6,1.0,[132.90972393003983 68.05668736836361 1918.5343865272457 1072.8184058795566],[1502.0494384765625 814.427490234375 1898.5950927734375 1034.8701171875],0.3119288682937622, ,0.0
7,1.0,[143.24636908268985 70.18306496269042 1919.6483092569065 1071.1640926847747],[1502.0208740234375 814.469970703125 1898.568359375 1034.8487548828125],0.3112412095069885, ,0.0
8,1.0,[147.82589203594353 71.50865880135945 1918.6850169932613 1070.201785085706],[1501.9984130859375 814.447998046875 1898.60302734375 1034.86669921875],0.3122306168079376, ,0.0
9,1.0,[157.23646479599006 76.94170929413548 1917.8775295308935 1070.3436837377894],[1478.0364990234375 790.5800170898438 1902.396240234375 1040.8221435546875],0.3164457082748413, ,0.0
10,1.0,[164.48275279356642 80.17711272464499 1916.167734651065 1069.4464962323007],[1478.0994873046875 790.5538330078125 1902.3984375 1040.8604736328125],0.3177413046360016, ,0.0
11,1.0,[177.5343831494173 84.53458913268764 1918.562077232465 1068.9850661811197],[1499.908447265625 813.0756225585938 1898.10791015625 1035.6146240234375],0.3220329284667969, ,0.0
12,1.0,[184.94316584360297 85.9800153170388 1918.2899692516871 1067.6666839378195],[1499.855712890625 812.8912353515625 1898.8055419921875 1035.8104248046875],0.3210243284702301, ,0.0
13,1.0,[188.89932271367957 86.9743593403856 1916.9180110140521 1066.6705724355256],[1499.753662109375 813.1203002929688 1899.0667724609375 1035.6668701171875],0.32254189252853394, ,0.0
14,1.0,[215.94840860610236 92.5805275219787 1925.5998717826092 1067.047650604029],[1476.026123046875 788.1123657226562 1904.234375 1041.0841064453125],0.3145001232624054, ,0.0
15,1.0,[228.94804196713142 95.35623751566317 1925.8710724624502 1066.4623841379876],[1475.76904296875 788.0599365234375 1904.378662109375 1041.1036376953125],0.31796911358833313, ,0.0
